material_id,formula,e_form_pred_n0,e_form_ale_n0
scn-305,HfMg6TiPb2,0.1448,0.0221
scn-306,SrTa2Bi2N9,-0.3622,0.077
scn-307,Zn2O3,-1.2731,0.0433
scn-308,Fr4Ti3O12,-3.3031,0.0711
scn-309,Li4Mg4C,0.2643,0.0312
scn-310,Ba3Ta2CrO9,-3.2247,0.0316
scn-311,TiNbAl5H,-0.148,0.0214
scn-312,Li2Mg5Ti2,0.1336,0.0196
scn-313,Mg3W,0.3958,0.0438
scn-314,ScClO2,-2.2724,0.084
scn-315,NaZn2BiO6,-1.3341,0.0517
scn-316,Ti2NbBiO6,-2.5191,0.0612
scn-317,MgSnCl,-0.9661,0.0302
scn-318,Ti2GeBiO6,-2.4086,0.047
scn-319,NaSr3Nb,0.5918,0.0296
scn-320,Ba3CaMg9Ta2,0.2879,0.0239
scn-321,NaCa2Mg10Ta3,0.2683,0.0346
scn-322,Li2Nb2AsO7,-2.451,0.0374
scn-323,SrTa2Al7H2,-0.1217,0.023
scn-324,Zr(TlFe3)2,0.383,0.1419
scn-325,CaMg3Zr,0.0657,0.014
scn-326,Mg4TlBi,-0.0577,0.0249
scn-327,TaAl3H,-0.032,0.0581
scn-328,NbBi3RuO9,-1.8713,0.0237
scn-329,Ca2Bi4I5O18,-1.5991,0.0709
scn-330,CaMg9(TaBi)2,0.072,0.0205
scn-331,NaHfNb2O7,-2.9594,0.0284
scn-332,V2WO4,-1.7188,0.0978
scn-333,CaMg2Nb2O7,-3.0346,0.04
scn-334,K7(TiBi)2,0.0605,0.0378
scn-335,BaNaMg3,0.0797,0.0137
scn-336,Ba2HfMg4,0.1564,0.0124
scn-337,CaZrTa2O8,-3.3544,0.038
scn-338,Mg3W,0.5515,0.0659
scn-339,Mn7Sn3O20,-1.7754,0.0556
scn-340,Mg3TaAg,0.2055,0.0235
scn-341,Sr2Mg7Nb2,0.2829,0.0218
scn-342,Zr2Nb2(AtO4)3,-2.8077,0.0423
scn-343,TlCu2N,0.4342,0.0343
scn-344,NaTaAl3,0.0033,0.0226
scn-345,Nb2Al9Bi2Pb,0.0561,0.0248
scn-346,LiMg6TaW,0.3639,0.0427
scn-347,Mg6Ta2Pb,0.2741,0.0705
scn-348,NaMg6TaW,0.4155,0.0434
scn-349,Ca(Tl3Te2)3,-0.439,0.0121
scn-350,LiNbCr3,0.4618,0.054
scn-351,KTaAs6W,-0.1476,0.1225
scn-352,Mg4NbBi,0.054,0.0232
scn-353,Li2Ca4SnPb,-0.437,0.0101
scn-354,Mg6Ta2Cd,0.204,0.0758
scn-355,Rb2Li3Sc5,0.5735,0.031
scn-356,Ba2Mg7Ta2,0.3998,0.0716
scn-357,LiNbAl3,-0.2227,0.0134
scn-358,Tl4As2O7,-1.4511,0.0402
scn-359,Mg6TaBi,0.159,0.0182
scn-360,Mg19(Ta3Pb2)2,0.2006,0.0263
scn-361,RbMg5TaTi,0.4228,0.0267
scn-362,NaTiAs2OF5,-2.6224,0.0341
scn-363,Sr2Mg4Ti,0.1147,0.0116
scn-364,ScTcO,-1.0912,0.0526
scn-365,Ba4Sr(ClO3)5,-1.4311,0.1666
scn-366,Ba3CdCu2O9,-1.7443,0.0413
scn-367,Mg7(NbCd)2,0.0589,0.0361
scn-368,Li3Mg4FeO,-0.4409,0.059
scn-369,Ca2Mg8Ti3,0.1563,0.0164
scn-370,Rb2NaTiAl5O,-0.1504,0.042
scn-371,Ba8TaBi,0.1269,0.0164
scn-372,ZrMo3F7,-2.2814,0.0757
scn-373,MgPbCl,-0.726,0.0363
scn-374,Mg15ZrTi4Pb5,0.0568,0.0221
scn-375,K2Mg5NbO,-0.3076,0.0357
scn-376,Ba3Ta3Zn2O14,-2.8699,0.073
scn-377,Rb3MgTiF5,-2.8791,0.0521
scn-378,KCa5TaTi,0.5031,0.0272
scn-379,CsHfBr3,-1.1377,0.0295
scn-380,Zr2Ti(Zn3Pb)3,0.0733,0.022
scn-381,NaMg8Nb3,0.2698,0.0303
scn-382,Mg9Nb2ZnPb3,0.1095,0.018
scn-383,SrMg9(TaBi)2,0.07,0.0157
scn-384,Na4Mg16Ti7,0.2016,0.0194
scn-385,Zr2Al7Bi2,-0.0568,0.0431
scn-386,Y2Hf2Mg7,0.0649,0.0367
scn-387,Ta2Mn2Al7,-0.1953,0.0335
scn-388,Mg10Nb2Pb3,0.1065,0.0179
scn-389,BaTa2S2O9,-2.2632,0.1312
scn-390,Ca5TiTlWF,-0.4346,0.0335
scn-391,Ba4LiZn3O12,-1.8044,0.0793
scn-392,Hf2W2O7,-2.8328,0.125
scn-393,Ti3Ga2O9,-2.9883,0.0336
scn-394,RbMg9Ti3Nb,0.2963,0.0306
scn-395,ClF2,-0.7665,0.0839
scn-396,Li4Mg8Ti3,0.1676,0.026
scn-397,HfSnSb4,0.0568,0.0621
scn-398,Ba4Ta3ZnO12,-3.2789,0.0275
scn-399,Ba4Nb2As12W,-0.6484,0.0133
scn-400,BaTi2Al5,-0.1899,0.0131
scn-401,NaCa2O4,-2.0472,0.0544
scn-402,Ba3Al9In2W,-0.0795,0.0179
scn-403,TiAl3Pb,0.0857,0.0219
scn-404,Sc3TlGe,-0.5372,0.0076
scn-405,Ca7(TaPb)2,0.0689,0.0411
scn-406,Na2MgVFe7,0.5477,0.1819
scn-407,Ba3SrSn2O9,-2.5239,0.0349
scn-408,Nb2Co2O7,-2.3617,0.0534
scn-409,BaMg3Zr,0.1796,0.0139
scn-410,Mg4TiNbTlF2,-1.1381,0.1035
scn-411,KMg18Nb4Bi5,0.0528,0.0191
scn-412,Mg3Sn2I,-0.2352,0.02
scn-413,Hf2BiO6F,-3.0432,0.0931
scn-414,KYMg7Ta2,0.3622,0.0212
scn-415,NaSr3Nb,0.5399,0.0308
scn-416,Na2Al8Zn,-0.0269,0.0292
scn-417,Na2Sr5Ti2,0.4673,0.0291
scn-418,Sn(PCl3)2,-0.8246,0.0466
scn-419,Cr10Pb9O4,-0.5241,0.059
scn-420,Cs2RbYAl6,0.0736,0.023
scn-421,NaMg3Nb,0.3157,0.0243
scn-422,SrMg9(TaBi)2,0.1085,0.0215
scn-423,Cs2TiPOF5,-2.9593,0.0358
scn-424,Na2FeIF7,-2.5283,0.0949
scn-425,Mg4Sb,-0.0963,0.0198
scn-426,Ca2Al7CoSi2,-0.3067,0.0123
scn-427,KNb(IO3)3,-1.5665,0.0534
scn-428,Cs5NaNb4O18,-2.0932,0.0898
scn-429,Ca2Mg7AlH2O,-0.5378,0.022
scn-430,CuPbF4,-2.1722,0.0253
scn-431,Mg6NbTlW,0.3159,0.0336
scn-432,Ca4ZrSn,-0.1859,0.0115
scn-433,Ta4Zn11Pb,0.1168,0.0336
scn-434,NiGe7OF7,-1.5643,0.0488
scn-435,Mg4TiSn,-0.0096,0.0165
scn-436,K2RbScAl6,0.0972,0.0254
scn-437,Ta2Ru2O7,-2.402,0.086
scn-438,Na8TlBr9O4,-0.2361,1.0096
scn-439,K3ZrSe5O,-1.1328,0.0252
scn-440,Na4I5O12,-1.2495,0.1013
scn-441,NaMg18Ta4Bi5,0.0804,0.0214
scn-442,LiMg4Cl,-0.5072,0.0222
scn-443,Hf(GaO2)2,-2.2331,0.0515
scn-444,Sr2CaMg6Mo,0.1572,0.0187
scn-445,FePbF,-0.7923,0.1587
scn-446,Cs2TaAsF5,-2.8768,0.0383
scn-447,CsK2NaOF5,-2.2625,0.0408
scn-448,Nb4V5O15,-2.5504,0.0481
scn-449,InPbO3,-1.5865,0.0494
scn-450,Sr3Mg9Nb2Zn,0.2003,0.0857
