material_id,formula,diel_ionic_pred_n0,diel_ionic_ale_n0,diel_ionic_target
mp-1220839,NaLaTi8(CuO4)6,21.7373,1.0942,0.0
mp-1080853,CeSe2,13.6685,0.7251,0.0
mp-13326,PrLuSe3,9.9968,0.4519,0.0
mp-1225986,Cu2Ag5Se4NO15,14.5788,1.0418,0.0
mp-1100654,Li9Mn2Co5O16,10.0399,0.7839,0.0
mp-1028592,Te3MoWSe,2.4044,0.6733,0.0
mp-1224809,Ga2Se3,3.4999,0.2532,0.0
mp-1176568,Mn3NiO8,24.4868,2.2578,0.0
mp-769528,Na5Ni2P2(CO7)2,5.7212,0.381,0.0
mp-1221196,Na4Eu(SiTe3)2,6.5819,0.2951,0.0
mp-759961,FeOF,10.2027,0.6422,0.0
mp-758359,Li2CrSi4O11,3.1591,0.2137,0.0
mp-1221084,NaCu2H3(SO5)2,6.6182,0.4339,0.0
mp-1213622,FeF6,2.6556,0.3631,0.0
mp-771903,Fe5Cu(PO4)6,6.9785,0.4365,0.0
mp-759992,MnFeCo(PO4)3,11.1252,0.7317,0.0
mp-1177364,Li4MnV3(P2O7)4,5.1672,0.7466,0.0
mp-1239,Sb3Ir,8.9048,0.3871,0.0
mvc-5884,Mg(CuO2)2,4.6526,0.181,0.0
mp-1177408,Li4Fe5SbO12,9.0453,0.4012,0.0
mp-1030722,Te2Mo3WSe6,9.8028,1.8007,0.0
mp-765221,Mn6OF11,5.2406,0.1758,0.0
mp-752993,Li4Mn3Ni3(WO8)2,12.6459,1.1074,0.0
mp-1180335,MnAl6Si4O19,3.4946,0.3112,0.0
mp-1176463,Mn3NbO8,16.8072,1.7941,0.0
mp-1213054,Eu2TlCl5,9.1958,0.3395,0.0
mp-504531,CuH20S2(NO7)2,4.9603,0.7382,0.0
mp-768927,Li2MnPCO7,6.0886,0.8644,0.0
mp-1228709,Ba3Sc3In(CuO4)3,11.7544,0.4245,0.0
mp-1177037,Li6Mn3V(PO4)6,5.5597,1.0105,0.0
mp-758711,V6O11F,12.7873,0.9661,0.0
mp-675683,Yb3(Sb7Te12)2,46.5195,2.1758,0.0
mp-758147,LiCu(PO3)3,4.4377,0.9761,0.0
mp-1213135,Er2Sn3(PbS4)3,31.0452,2.37,0.0
mp-1204382,Tm10S19,8.071,0.3072,0.0
mp-1225031,KRbCuH12(SeO7)2,4.5806,0.1738,0.0
mp-1225935,Cu2AgBiPbS4,17.9998,1.6473,0.0
mp-1318786,LiCo3NiO8,4.5178,0.2553,0.0
mp-1028419,Te2Mo3WSe6,9.7519,1.7902,0.0
mp-758856,LiCuPO4,4.1536,0.1733,0.0
mp-1218922,SnTe(PbS)4,30.5461,1.9016,0.0
mp-1176959,Li6MnV3(PO4)6,6.8002,1.3661,0.0
mp-1201576,ZnCu2PH7O9,4.3147,0.2022,0.0
mp-766516,Li2Mn3(BO3)4,4.276,0.2487,0.0
mp-1215544,ZnCr4CdSe8,2.2449,0.2048,0.0
mp-778856,Li3Mn4(BO3)4,5.1323,0.3073,0.0
mp-863857,Mn3Co3(SbO8)2,13.691,0.9218,0.0
mp-761266,Li6MnV3(PO4)6,4.7334,0.6318,0.0
mp-1175424,Li9Mn2Co5O16,7.6054,0.283,0.0
mp-1175441,Li9Mn2Co5O16,7.2596,0.246,0.0
mp-644514,MnO2,6.6159,0.3285,0.0
mp-555267,CuHgSBr,8.0803,0.5727,0.0
mp-1198792,Te7WBr5O,10.6012,0.6794,0.0
mvc-9017,MgAgBiO5,14.0941,0.7853,0.0
mp-782657,Mn3VTe2(PO4)6,9.1442,0.7238,0.0
mp-765998,Li4Mn8O9F7,7.6981,0.386,0.0
mp-1189209,Ho2Te3,11.295,0.2802,0.0
mp-1203888,NaCeS2O9,5.4556,0.276,0.0
mp-1218649,Sr2Y4Fe2Cu2O13,10.6793,0.4615,0.0
mp-849537,V6O11,15.3054,0.7478,0.0
mp-11051,NaSn,11.1388,0.3859,0.0
mp-1199946,Ba2FeSbS5,8.3227,0.3715,0.0
mp-1095403,BaTbCuTe3,9.5019,0.1682,0.0
mp-1191492,LaPS,11.3696,0.3029,0.0
mp-759136,LiMn5O10,6.2876,0.3298,0.0
mp-1105293,GaAgO2,6.3035,0.312,0.0
mp-27370,P10Au7I,1.3728,0.4057,0.0
mp-1245742,Sr11(CN5)2,10.3276,0.2046,0.0
mp-1175775,Li9Mn2Co5O16,7.761,0.6931,0.0
mp-1080303,CeSe2,12.4225,0.3795,0.0
mp-1002568,MgMn2O4,5.9472,0.2142,0.0
mp-776421,LiV2OF5,5.8754,0.2982,0.0
mp-1209172,Tb2Sn3(PbS4)3,30.9234,2.4592,0.0
mp-542697,Rb2RuO4,4.7998,0.233,0.0
mp-675142,Yb3DySb3,9.8469,0.2457,0.0
mp-1223515,KCu2H3(SO5)2,5.9267,0.3022,0.0
mp-32633,Dy6Se11,12.0456,0.9331,0.0
