material_id,formula,diel_total_pred_n0,diel_total_ale_n0,diel_total_target
mp-755638,Li7Ni5O12,27.0098,3.3071,0.0
mp-774423,V3Cu(PO4)6,15.7677,6.4045,0.0
mp-777385,Li5Mn8(BO3)8,9.0565,0.4773,0.0
mp-1215773,Zn3In2O6,13.8834,0.6282,0.0
mp-761602,Li3Fe(CoO3)2,15.6019,1.1041,0.0
mp-1176075,Li9Mn2Co5O16,20.9336,2.8876,0.0
mp-5363,Hg2TeO5,31.5359,2.2187,0.0
mp-770581,MgMnO3,10.9781,0.2846,0.0
mp-1013545,Ca3BiAs,34.8189,1.4048,0.0
mp-1174644,Li4MnCo2O7,20.6746,2.7289,0.0
mp-15645,Ag8SnS6,14.6296,0.7792,0.0
mp-1175204,Li7Mn4CoO12,17.0884,0.6225,0.0
mp-1176035,Li9Mn2Co5O16,20.9336,2.8876,0.0
mp-1221632,MnCdS2,21.1929,0.9599,0.0
mp-754039,Y2V2O7,17.301,0.9817,0.0
mp-1663008,Li4Ti3V3(TeO8)2,30.4933,4.4036,0.0
mp-757976,LiNiCO4,10.7493,1.3892,0.0
mp-1112018,K2InSbI6,23.7439,0.7777,0.0
mp-555658,Bi2MoO6,59.446,6.6106,0.0
mp-1650937,Li7Mn4CoO12,17.1717,0.6696,0.0
mp-1206828,Eu2YTaO6,37.0723,4.0093,0.0
mp-849461,Na3MnO3,9.2877,0.3718,0.0
mp-773019,V12O29,29.4684,2.558,0.0
mp-1175593,Li9Mn2Co5O16,20.9336,2.8876,0.0
mp-1105127,MnP4,16.3012,0.4481,0.0
