Bi2Zr2O7,,CsTaTeO6,
Wavelength (nm),%R,Wavelength (nm),%R
1316,91.87168121,1316,70.03227997
1315,91.85640717,1315,69.99993134
1314,91.85322571,1314,69.9765625
1313,91.85393524,1313,69.95632172
1312,91.85306549,1312,69.93840027
1311,91.84770966,1311,69.9123764
1310,91.85241699,1310,69.89067078
1309,91.83439636,1309,69.8625946
1308,91.82806396,1308,69.8228302
1307,91.85139465,1307,69.81829071
1306,91.85617065,1306,69.79029083
1305,91.84596252,1305,69.76080322
1304,91.829216,1304,69.7241745
1303,91.82888031,1303,69.70523834
1302,91.84420776,1302,69.69101715
1301,91.83555603,1301,69.66477966
1300,91.81448364,1300,69.6322403
1299,91.79998779,1299,69.60218811
1298,91.81282806,1298,69.59287262
1297,91.82383728,1297,69.55871582
1296,91.80369568,1296,69.52508545
1295,91.80181885,1295,69.51335144
1294,91.81100464,1294,69.49081421
1293,91.80728912,1293,69.47148895
1292,91.80434418,1292,69.44194794
1291,91.79026031,1291,69.40914154
1290,91.78631592,1290,69.39553833
1289,91.77996826,1289,69.35316467
1288,91.79701996,1288,69.32798767
1287,91.79304504,1287,69.30049896
1286,91.78424835,1286,69.286026
1285,91.77611542,1285,69.25706482
1284,91.77781677,1284,69.23423004
1283,91.77776337,1283,69.20201874
1282,91.77593231,1282,69.17974091
1281,91.77713013,1281,69.1603241
1280,91.77653503,1280,69.12205505
1279,91.76056671,1279,69.09862518
1278,91.76972198,1278,69.0737381
1277,91.76078796,1277,69.0397644
1276,91.77222443,1276,69.02606201
1275,91.75902557,1275,68.98352051
1274,91.75539398,1274,68.95887756
1273,91.75688934,1273,68.93184662
1272,91.75376129,1272,68.90092468
1271,91.75750732,1271,68.88401031
1270,91.74924469,1270,68.8453598
1269,91.7440033,1269,68.82299805
1268,91.73487091,1268,68.78590393
1267,91.73925018,1267,68.75489044
1266,91.74324036,1266,68.73247528
1265,91.74101257,1265,68.71363068
1264,91.73703766,1264,68.67038727
1263,91.7497406,1263,68.65849304
1262,91.74318695,1262,68.63348389
1261,91.73535156,1261,68.60140228
1260,91.74177551,1260,68.56612396
1259,91.72727203,1259,68.53263092
1258,91.73672485,1258,68.50791931
1257,91.72734833,1257,68.47208405
1256,91.72962952,1256,68.44936371
1255,91.73606873,1255,68.42635345
1254,91.73506927,1254,68.38756561
1253,91.72422028,1253,68.35218811
1252,91.72947693,1252,68.32881165
1251,91.71788025,1251,68.29727173
1250,91.71297455,1250,68.26529694
1249,91.70952606,1249,68.23012543
1248,91.71076202,1248,68.19926453
1247,91.72685242,1247,68.1745224
1246,91.7304306,1246,68.14646149
1245,91.7138443,1245,68.09997559
1244,91.69965363,1244,68.06471252
1243,91.70819855,1243,68.03862762
1242,91.69874573,1242,68.00415802
1241,91.69872284,1241,67.96846771
1240,91.70187378,1240,67.93759155
1239,91.69779205,1239,67.9000473
1238,91.69718933,1238,67.86445618
1237,91.68846893,1237,67.83289337
1236,91.68075562,1236,67.78394318
1235,91.68643188,1235,67.75252533
