material_id,formula,diel_ionic_pred_n0,diel_ionic_ale_n0
scn-19330,YHf2TaO6,23.3955,1.3329
scn-19331,RbOF,7.7399,0.4966
scn-19332,Tl2CuTe,17.3632,1.1895
scn-19333,Ca4PbW,14.3895,0.5691
scn-19334,Sr2Si2TeO7,6.7618,0.3183
scn-19335,BaNb2Pd2O11,45.1344,2.2767
scn-19336,TiRh2O5,4.5203,0.1878
scn-19337,Po2PbF8,11.5949,0.6899
scn-19338,Rb3CaO7,5.3831,0.2719
scn-19339,Ba3ZrFe4O15,26.7519,1.2299
scn-19340,K6CaNb2,15.7188,0.9325
scn-19341,K4Ba12Zr5,19.7264,0.7695
scn-19342,Ba3TiW2O9,59.8427,4.2388
scn-19343,TlWF3,10.0297,0.4855
scn-19344,CaTa2Br2O7,48.2422,3.5298
scn-19345,MgTiNi2(PbO3)4,17.5014,0.5981
scn-19346,NbAtO3,9.3156,0.2821
scn-19347,CaCdO3,9.929,0.4199
scn-19348,FrTl3F6,45.5201,10.5313
scn-19349,RbGa(PbO3)2,10.6124,0.5447
scn-19350,CaWF4,6.445,0.348
scn-19351,Sr5Co7O19,10.909,0.3211
scn-19352,BaNb4PtO12,54.0414,3.7944
scn-19353,Cs2Bi2Se,12.0081,0.7502
scn-19354,Ti6Pt2O13,15.4684,1.0116
scn-19355,Sr2TaGaW6,19.4398,0.8996
scn-19356,Nb2ZnCd6,18.3464,1.3324
scn-19357,KNb2VO6,29.3546,2.0849
scn-19358,SICl,4.209,0.2802
scn-19359,Ta7AuO19,42.7181,3.6763
scn-19360,Rb2ScGaF6,7.4321,0.6959
scn-19361,Ti4N2O9,50.204,3.9057
scn-19362,Ba2TlTeO6,18.5681,0.6858
scn-19363,RbTl2BiF6,21.9571,1.5948
scn-19364,K2ScNbO7,15.1606,1.1882
scn-19365,BiCl2F7,2.7407,0.3312
scn-19366,Ba2TaCrSn6,11.6877,0.3125
scn-19367,Ca(TaCr3)2,13.2458,0.6951
scn-19368,Na2ZrGe3,7.2787,0.2026
scn-19369,Ge(BrF3)2,2.2827,0.3711
scn-19370,Ca2TaIO6,26.0954,1.3794
scn-19371,Sr4Ta15Ti3Nb2,6.6761,0.3693
scn-19372,SrSnN4,6.7714,0.2229
scn-19373,BaNa2Ta2S7,24.5339,1.599
scn-19374,Cs2Ta2O9,16.3745,0.9643
scn-19375,Tc2AgBiS,10.0496,0.5
scn-19376,Y4Ti3O10,61.3309,6.832
scn-19377,SrLi2Cr2O7,7.7456,0.375
scn-19378,Ca3Cu4(O6F)2,6.976,0.2511
scn-19379,ScNbS2O7,34.2476,9.3116
scn-19380,NaWNO6,8.4392,0.9587
scn-19381,TaTl4Sb,12.8068,0.4842
scn-19382,TcO,17.1651,0.9768
scn-19383,Fe2PbO6,20.6418,1.1517
scn-19384,Tl2GaF6,20.5475,1.8173
scn-19385,CaZrSc3,17.0209,0.7113
scn-19386,SrAuNO2,6.5648,0.1913
scn-19387,Ca5Ta4Cd15,12.9576,0.594
scn-19388,AsPb3F5,25.63,1.0216
scn-19389,NaO3F,4.1597,0.85
scn-19390,Na2CaGe2O7,12.654,0.6326
scn-19391,CaMgTaCuO6,26.5206,1.2567
scn-19392,Ca5Sc2O13,9.9686,0.366
scn-19393,CaAlZnO5,9.2124,0.3103
scn-19394,NbRuO3,13.0944,0.5213
scn-19395,SrMg4O11,5.5407,0.2111
scn-19396,Ba2Na(PtO3)5,5.296,0.2253
scn-19397,BaTiP3,25.199,3.5629
scn-19398,Ti3Zn4SnO14,64.4127,11.3968
scn-19399,CuPb2F8,27.832,2.1428
scn-19400,BaFe4O9,7.2486,0.278
scn-19401,VCu5Mo,17.6131,0.9781
scn-19402,Hf4TiSn3O14,86.2543,2.0956
scn-19403,NaAl3Cl,10.3187,0.4851
scn-19404,Cs2K5Li3,12.0184,0.352
scn-19405,In3AgO8,6.3488,0.3138
scn-19406,HfN2O3,6.3499,1.165
scn-19407,CsNa2GaF6,5.8324,0.2247
scn-19408,Ge8Bi2Pb,21.9954,0.8322
scn-19409,GaPbCl,26.3622,0.9905
scn-19410,RbTiVO5,16.37,1.1214
